Asset ID,Acquisition Date,"
Life","
Book Value","
Net Value",Salvage Value,Method,Depreciation
CE-HRE-0039,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0040,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0041,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0042,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0043,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0044,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0045,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0046,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0047,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0048,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0049,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0050,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0051,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0052,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0053,15/11/2017,10,261,106.6,0,straight_line,
CE-HRE-0070,01/12/2018,5,1323,44.08,0,straight_line,
CE-HRE-0071,01/12/2018,5,28674,955.82,0,straight_line,
CE-HRE-0075,01/04/2019,5,3684,368.37,0,straight_line,
CE-HRE-0077,18/07/2019,5,3179,529.83,0,straight_line,
CE-HRE-0081,28/02/2020,5,1239,351.16,0,straight_line,
CE-HRE-0085,17/03/2020,5,522,148.02,0,straight_line,
CE-HRE-0086,04/06/2020,5,915,305,0,straight_line,
CE-HRE-0087,04/03/2020,5,945,267.74,0,straight_line,
CE-HRE-0089,24/02/2022,5,873,596.75,0,straight_line,
CE-HRE-0090,24/02/2022,5,636,434.32,0,straight_line,
CE-HRE-0091,24/03/2022,5,570,398.79,0,straight_line,
CE-HRE-0092,07/04/2022,5,565,395.61,0,straight_line,
CE-HRE-0093,07/04/2022,5,565,395.61,0,straight_line,
CE-HRE-0094,07/04/2022,5,565,395.61,0,straight_line,
