 Loan Number ,Disbursement Date,Loan Term,Loan Amount,Closing Balance,Interest Rate,Admin Fee,Credit Insurance Fee,Loan Type
"100,120,644,000,001",13/10/2021,60,20000,-14769.5,0.0025,0.02,0.017,B2B
"100,120,644,000,002",15/10/2021,60,12000,-8855.52,0.0025,0.02,0.017,B2B
"100,120,644,000,003",25/10/2021,60,20000,-14708.39,0.0025,0.02,0.017,B2B
"100,120,644,000,004",26/10/2021,60,20000,-14703.34,0.0025,0.02,0.017,B2B
"100,120,644,000,005",28/10/2021,60,20000,-14693.08,0.0025,0.02,0.017,B2B
"100,120,644,000,006",09/11/2021,60,10000,-7316.16,0.0025,0.02,0.017,B2B
"100,120,644,000,007",28/10/2021,60,35000,-25712.94,0.0025,0.02,0.017,B2B
"100,120,644,000,008",18/11/2021,60,20000,-14587.04,0.0025,0.02,0.017,B2B
"100,120,644,000,009",25/07/2022,50,5000,-4253.88,0.0025,0.02,0.017,B2B
"100,120,644,000,010",01/08/2022,60,80000,-71019.29,0.0025,0.02,0.017,B2B
"100,120,644,000,011",25/07/2022,60,80000,-71191.26,0.0025,0.02,0.017,B2B
"100,120,644,000,012",09/11/2022,60,74000,-66811.91,0.0025,0.02,0.017,B2B
"100,120,623,000,001",30/06/2023,12,2158,-1798.53,0.0025,0.02,0.017,B2B
"100,120,623,000,002",30/06/2023,8,1551.25,-979.04,0.0025,0.02,0.017,B2B
"100,120,623,000,003",30/06/2023,12,4000,-3025.12,0.0025,0.02,0.017,B2B
"100,120,623,000,004",22/06/2023,12,3000,-2281.76,0.0025,0.02,0.017,B2B
"100,120,623,000,005",04/07/2023,9,950,-636.44,0.0025,0.02,0.017,B2B
"100,120,623,000,006",28/08/2023,12,2000,-1834.67,0.0025,0.02,0.017,B2B
"100,120,623,000,007",01/09/2023,12,3000,-3000,0.0025,0.02,0.017,B2B
"100,120,623,000,008",22/09/2023,12,2000,-2000,0.0025,0.02,0.017,B2B
"100,120,623,000,009",29/09/2023,12,2630.01,-2630.01,0.0025,0.02,0.017,B2B
"100,120,688,000,001",12/12/2020,36,15000,-7828.69,0.0025,0.02,0.017,B2B
"100,120,688,000,002",27/05/2021,36,5612.25,-2323.43,0.0025,0.02,0.017,B2B
"100,120,692,000,001",29/03/2021,36,50000,0,0.0025,0.02,0.017,B2B
"100,120,692,000,002",29/03/2021,36,50000,0,0.0025,0.02,0.017,B2B
"100,120,692,000,003",16/04/2021,36,20000,84.65,0.0025,0.02,0.017,B2B
"100,120,692,000,004",16/04/2021,36,20000,-4205.85,0.0025,0.02,0.017,B2B
"100,120,692,000,005",16/04/2021,36,20000,6.08,0.0025,0.02,0.017,B2B
"100,120,692,000,006",09/07/2021,36,20000,-5983.18,0.0025,0.02,0.017,B2B
"100,120,692,000,007",02/02/2022,36,20000,121.27,0.0025,0.02,0.017,B2B
"100,120,692,000,008",05/07/2022,36,18670,-11272.2,0.0025,0.02,0.017,B2B
"100,120,692,000,009",08/07/2022,36,30631.25,-18388.04,0.0025,0.02,0.017,B2B
"100,120,692,000,010",25/07/2022,36,29468.73,-16.54,0.0025,0.02,0.017,B2B
"100,120,692,000,011",19/07/2022,36,19352,164.3,0.0025,0.02,0.017,B2B
"100,120,692,000,012",01/01/2023,36,15015.58,-11488.81,0.0025,0.02,0.017,B2B
"100,120,692,000,013",18/01/2023,36,5000,-3838.2,0.0025,0.02,0.017,B2B
"100,120,692,000,014",03/02/2023,17,8955.92,-4695.08,0.0025,0.02,0.017,B2B
"100,120,692,000,015",03/02/2023,17,800,-433.87,0.0025,0.02,0.017,B2B
"100,120,692,000,017",10/05/2023,36,22502.91,-19341.38,0.0025,0.02,0.017,B2B
"100,120,692,000,018",10/05/2023,36,14916.83,-13019.59,0.0025,0.02,0.017,B2B
"100,120,692,000,019",18/05/2023,35,10363,-8988.68,0.0025,0.02,0.017,B2B
"100,120,692,000,020",28/03/2023,36,20000,-17002.11,0.0025,0.02,0.017,B2B
"100,120,692,000,021",15/09/2023,36,15525,-15525,0.0025,0.02,0.017,B2B
"100,120,712,000,001",23/05/2023,12,2000,0,0.0025,0.02,0.017,B2B
"100,120,712,000,002",22/05/2023,12,1500,-1146.28,0.0025,0.02,0.017,B2B
"100,120,712,000,003",22/05/2023,12,2000,-1528.38,0.0025,0.02,0.017,B2B
"100,120,712,000,004",22/05/2023,12,2000,-1528.81,0.0025,0.02,0.017,B2B
"100,120,712,000,005",22/05/2023,12,2500,-1910.47,0.0025,0.02,0.017,B2B
"100,120,712,000,006",22/05/2023,12,2000,-1528.38,0.0025,0.02,0.017,B2B
"100,120,712,000,007",22/05/2023,12,1000,-764.2,0.0025,0.02,0.017,B2B
"100,120,712,000,008",22/05/2023,12,2000,-1528.38,0.0025,0.02,0.017,B2B
"100,120,712,000,009",22/05/2023,12,2000,-1528.38,0.0025,0.02,0.017,B2B
"100,120,712,000,010",22/05/2023,12,3500,0,0.0025,0.02,0.017,B2B
"100,120,712,000,011",22/05/2023,12,2000,-1528.38,0.0025,0.02,0.017,B2B
"100,120,712,000,012",22/05/2023,12,2000,-1528.4,0.0025,0.02,0.017,B2B
"100,120,712,000,013",23/06/2023,12,1500,-130.77,0.0025,0.02,0.017,B2B
"100,120,712,000,014",10/07/2023,12,2500,0,0.0025,0.02,0.017,B2B
"100,120,712,000,015",10/07/2023,12,1000,0,0.0025,0.02,0.017,B2B
"100,120,712,000,016",17/07/2023,12,2500,-2322.09,0.0025,0.02,0.017,B2B
"100,120,712,000,017",17/07/2023,12,1500,-1393.25,0.0025,0.02,0.017,B2B
"100,120,712,000,018",17/07/2023,12,1500,-1393.25,0.0025,0.02,0.017,B2B
"100,120,712,000,019",17/07/2023,6,800,-675.52,0.0025,0.02,0.017,B2B
"100,120,712,000,020",17/07/2023,12,3600,-3343.81,0.0025,0.02,0.017,B2B
"100,120,712,000,021",10/07/2023,12,1500,-1395.42,0.0025,0.02,0.017,B2B
"100,120,712,000,022",31/07/2023,12,5441.36,-5038.53,0.0025,0.02,0.017,B2B
"100,120,716,000,001",15/05/2023,12,6000,-5144.07,0.0025,0.02,0.017,B2B
"100,120,716,000,002",23/05/2023,7,10000,-8808.62,0.0025,0.02,0.017,B2B
"100,120,716,000,003",26/05/2023,6,310,-210.33,0.0025,0.02,0.017,B2B
"100,120,716,000,004",09/06/2023,12,4000,-3848.83,0.0025,0.02,0.017,B2B
"100,120,716,000,005",15/06/2023,8,350,-313.33,0.0025,0.02,0.017,B2B
"100,120,716,000,006",20/06/2023,9,5000,-5000,0.0025,0.02,0.017,B2B
"100,120,716,000,007",19/07/2023,10,200,-203.9,0.0025,0.02,0.017,B2B
"100,120,716,000,008",26/09/2023,8,330,-330,0.0025,0.02,0.017,B2B
"100,120,692,000,016",05/04/2023,6,800,275.45,0.0025,0.02,0.017,B2B
"100,120,680,000,026",12/10/2021,36,10000,-4719.81,0.0025,0.02,0.017,B2B
"100,120,680,000,027",14/10/2021,36,10000,-4701.95,0.0025,0.02,0.017,B2B
"100,120,680,000,028",12/10/2021,36,10000,-4719.81,0.0025,0.02,0.017,B2B
"100,120,680,000,029",14/10/2021,36,10000,-4701.95,0.0025,0.02,0.017,B2B
"100,120,680,000,030",12/10/2021,36,10000,-4719.81,0.0025,0.02,0.017,B2B
"100,120,680,000,031",14/10/2021,36,10000,-4701.95,0.0025,0.02,0.017,B2B
"100,120,680,000,032",19/10/2021,36,19000,-14358.18,0.0025,0.02,0.017,B2B
"100,120,680,000,033",22/10/2021,36,19000,-14034.59,0.0025,0.02,0.017,B2B
"100,120,684,000,001",15/07/2020,5,1430,1.29,0.0025,0.02,0.017,B2B
"100,120,684,000,002",15/07/2020,5,1740,1.75,0.0025,0.02,0.017,B2B
"100,120,684,000,003",15/07/2020,5,2000,2.52,0.0025,0.02,0.017,B2B
"100,120,684,000,004",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,005",15/07/2020,5,1000,2.75,0.0025,0.02,0.017,B2B
"100,120,684,000,006",15/07/2020,5,1480,0.97,0.0025,0.02,0.017,B2B
"100,120,684,000,007",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,008",15/07/2020,5,1970,1.52,0.0025,0.02,0.017,B2B
"100,120,684,000,009",15/07/2020,5,1000,2.75,0.0025,0.02,0.017,B2B
"100,120,684,000,010",15/07/2020,5,200,1.77,0.0025,0.02,0.017,B2B
"100,120,684,000,011",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,012",15/07/2020,5,200,1.77,0.0025,0.02,0.017,B2B
"100,120,684,000,013",15/07/2020,5,1000,2.75,0.0025,0.02,0.017,B2B
"100,120,684,000,014",15/07/2020,5,1780,2.09,0.0025,0.02,0.017,B2B
"100,120,684,000,015",15/07/2020,5,300,1.12,0.0025,0.02,0.017,B2B
"100,120,684,000,016",15/07/2020,5,450,0.21,0.0025,0.02,0.017,B2B
"100,120,684,000,017",15/07/2020,5,600,2.26,0.0025,0.02,0.017,B2B
"100,120,684,000,018",15/07/2020,5,1820,2.45,0.0025,0.02,0.017,B2B
"100,120,684,000,019",15/07/2020,5,1000,2.75,0.0025,0.02,0.017,B2B
"100,120,684,000,020",15/07/2020,5,700,1.63,0.0025,0.02,0.017,B2B
"100,120,684,000,021",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,022",15/07/2020,5,200,1.77,0.0025,0.02,0.017,B2B
"100,120,684,000,023",15/07/2020,5,170,0.73,0.0025,0.02,0.017,B2B
"100,120,684,000,024",15/07/2020,5,200,1.77,0.0025,0.02,0.017,B2B
"100,120,684,000,025",15/07/2020,5,150,2.06,0.0025,0.02,0.017,B2B
"100,120,684,000,026",15/07/2020,5,300,1.12,0.0025,0.02,0.017,B2B
"100,120,684,000,027",15/07/2020,5,300,1.12,0.0025,0.02,0.017,B2B
"100,120,684,000,028",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,029",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,030",15/07/2020,5,1000,2.75,0.0025,0.02,0.017,B2B
"100,120,684,000,031",15/07/2020,5,250,1.44,0.0025,0.02,0.017,B2B
"100,120,684,000,032",15/07/2020,5,250,1.44,0.0025,0.02,0.017,B2B
"100,120,684,000,033",15/07/2020,5,300,1.12,0.0025,0.02,0.017,B2B
"100,120,684,000,034",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,035",15/07/2020,5,300,1.12,0.0025,0.02,0.017,B2B
"100,120,684,000,036",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,037",15/07/2020,5,900,0.38,0.0025,0.02,0.017,B2B
"100,120,684,000,038",15/07/2020,5,350,0.82,0.0025,0.02,0.017,B2B
"100,120,684,000,039",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,040",15/07/2020,5,600,2.26,0.0025,0.02,0.017,B2B
"100,120,684,000,041",15/07/2020,5,600,2.26,0.0025,0.02,0.017,B2B
"100,120,684,000,042",15/07/2020,5,400,0.49,0.0025,0.02,0.017,B2B
"100,120,684,000,043",15/07/2020,5,1000,2.75,0.0025,0.02,0.017,B2B
"100,120,684,000,044",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,045",15/07/2020,5,3000,2.27,0.0025,0.02,0.017,B2B
"100,120,684,000,046",15/07/2020,5,5000,1.8,0.0025,0.02,0.017,B2B
"100,120,684,000,047",15/07/2020,5,5000,1.8,0.0025,0.02,0.017,B2B
"100,120,684,000,048",15/07/2020,5,2500,0,0.0025,0.02,0.017,B2B
"100,120,684,000,049",15/07/2020,5,600,2.26,0.0025,0.02,0.017,B2B
"100,120,684,000,050",15/07/2020,5,900,0.38,0.0025,0.02,0.017,B2B
"100,120,684,000,051",15/07/2020,5,600,2.26,0.0025,0.02,0.017,B2B
"100,120,684,000,052",15/07/2020,5,400,0.49,0.0025,0.02,0.017,B2B
"100,120,684,000,053",15/07/2020,5,300,80.5,0.0025,0.02,0.017,B2B
"100,120,684,000,054",15/07/2020,5,400,0.49,0.0025,0.02,0.017,B2B
"100,120,684,000,055",15/07/2020,5,700,1.63,0.0025,0.02,0.017,B2B
"100,120,684,000,056",15/07/2020,5,600,2.26,0.0025,0.02,0.017,B2B
"100,120,684,000,057",15/07/2020,5,3850,2.98,0.0025,0.02,0.017,B2B
"100,120,684,000,058",15/07/2020,5,1500,2.64,0.0025,0.02,0.017,B2B
"100,120,684,000,059",15/07/2020,5,400,0.49,0.0025,0.02,0.017,B2B
"100,120,684,000,060",15/07/2020,5,500,2.89,0.0025,0.02,0.017,B2B
"100,120,684,000,061",15/07/2020,5,900,0.38,0.0025,0.02,0.017,B2B
"100,120,684,000,062",15/07/2020,5,800,1.01,0.0025,0.02,0.017,B2B
"100,120,684,000,063",15/07/2020,5,1000,2.75,0.0025,0.02,0.017,B2B
"100,120,684,000,064",15/07/2020,5,2000,2.52,0.0025,0.02,0.017,B2B
"100,120,684,000,065",17/07/2020,5,1000,1.06,0.0025,0.02,0.017,B2B
"100,120,684,000,066",17/07/2020,5,2000,2.16,0.0025,0.02,0.017,B2B
"100,120,684,000,067",17/07/2020,5,1200,0.07,0.0025,0.02,0.017,B2B
"100,120,684,000,068",17/07/2020,5,700,2.55,0.0025,0.02,0.017,B2B
"100,120,684,000,069",17/07/2020,5,1500,1.61,0.0025,0.02,0.017,B2B
"100,120,684,000,070",17/07/2020,5,500,0.53,0.0025,0.02,0.017,B2B
"100,120,684,000,071",17/07/2020,5,200,2.02,0.0025,0.02,0.017,B2B
"100,120,684,000,072",17/07/2020,5,1000,1.06,0.0025,0.02,0.017,B2B
"100,120,684,000,073",17/07/2020,5,400,1.03,0.0025,0.02,0.017,B2B
"100,120,684,000,074",17/07/2020,5,500,0.53,0.0025,0.02,0.017,B2B
"100,120,684,000,075",17/07/2020,5,2000,2.16,0.0025,0.02,0.017,B2B
"100,120,684,000,076",20/07/2020,5,450,1.67,0.0025,0.02,0.017,B2B
"100,120,684,000,077",20/07/2020,5,1000,0.04,0.0025,0.02,0.017,B2B
"100,120,684,000,078",20/07/2020,5,500,1.53,0.0025,0.02,0.017,B2B
"100,120,684,000,079",20/07/2020,5,1350,2.01,0.0025,0.02,0.017,B2B
"100,120,684,000,080",20/07/2020,5,300,2.12,0.0025,0.02,0.017,B2B
"100,120,684,000,081",20/07/2020,5,600,1.23,0.0025,0.02,0.017,B2B
"100,120,684,000,082",20/07/2020,5,400,1.82,0.0025,0.02,0.017,B2B
"100,120,684,000,083",20/07/2020,5,500,1.53,0.0025,0.02,0.017,B2B
"100,120,684,000,084",20/07/2020,5,1500,1.55,0.0025,0.02,0.017,B2B
"100,120,684,000,085",20/07/2020,5,3000,0.11,0.0025,0.02,0.017,B2B
"100,120,684,000,086",20/07/2020,5,700,0.91,0.0025,0.02,0.017,B2B
"100,120,684,000,087",20/07/2020,5,500,1.53,0.0025,0.02,0.017,B2B
"100,120,684,000,088",20/07/2020,5,500,1.53,0.0025,0.02,0.017,B2B
"100,120,684,000,089",20/07/2020,5,600,1.23,0.0025,0.02,0.017,B2B
"100,120,684,000,090",20/07/2020,5,400,1.82,0.0025,0.02,0.017,B2B
"100,120,684,000,091",20/07/2020,5,500,1.53,0.0025,0.02,0.017,B2B
"100,120,684,000,092",20/07/2020,5,1000,0.04,0.0025,0.02,0.017,B2B
"100,120,684,000,093",20/07/2020,5,1000,0.04,0.0025,0.02,0.017,B2B
"100,120,684,000,094",05/08/2020,4,2500,0,0.0025,0.02,0.017,B2B
"100,120,684,000,095",14/08/2020,4,400,1.04,0.0025,0.02,0.017,B2B
"100,120,684,000,096",14/08/2020,4,450,1.68,0.0025,0.02,0.017,B2B
