,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Training,40,40,6840,1740,1540,2540,1540,40,2640,40,40,40,1493.671556,1498.650461,1503.645962,1508.658116,1513.686976,1518.732599,1523.795041,1528.874358,1533.970606,1539.083841,1544.214121,1548.074656,1551.944843,1555.824705,1559.714266,1563.613552,1567.522586,1571.441392,1575.369996,1579.308421,1583.256692,1587.214834,1591.182871,1595.160828,1599.14873,1603.146602,1607.154468,1611.172355,1615.200285,1619.238286,1623.286382,1627.344598,1631.412959,1635.491492,1639.58022,1643.679171,1647.788369,1651.90784,1656.037609,1660.177703,1664.328148,1668.488968,1672.660191,1676.841841,1681.033946,1685.23653,1689.449622,1693.673246
CILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonus Provision,2023,2023,2023,2160.5,2577.166667,2577.166667,2906.333333,3056.333333,3056.333333,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3189.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3339.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3539.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3689.666667,3739.666667
Retrenchments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staff Welfare,17275,17275,17275,17275,17275,17706.875,17706.875,17706.875,17706.875,17706.875,17706.875,18052.375,18052.375,18052.375,18052.375,18052.375,18052.375,18397.875,18397.875,18397.875,18397.875,18397.875,18397.875,18657,18657,18657,18657,18657,18657,18916.125,18916.125,18916.125,18916.125,18916.125,18916.125,19175.25,19175.25,19175.25,19175.25,19175.25,19175.25,19434.375,19434.375,19434.375,19434.375,19434.375,19434.375,19693.5,19693.5,19693.5,19693.5,19693.5,19693.5,19952.625,19952.625,19952.625,19952.625,19952.625,19952.625,20211.75
Donations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Fees,200,200,200,200,200,200,200,200,200,200,200,200,209.883591,210.5832029,211.2851469,211.9894308,212.6960622,213.4050491,214.1163992,214.8301206,215.546221,216.2647084,216.9855907,217.5280547,218.0718748,218.6170545,219.1635972,219.7115062,220.2607849,220.8114369,221.3634655,221.9168741,222.4716663,223.0278455,223.5854151,224.1443786,224.7047396,225.2665014,225.8296677,226.3942419,226.9602275,227.527628,228.0964471,228.6666882,229.2383549,229.8114508,230.3859795,230.9619444,231.5393493,232.1181976,232.6984931,233.2802394,233.86344,234.4480986,235.0342188,235.6218044,236.2108589,236.801386,237.3933895,237.986873
Strategic Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rental Income,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Received,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends Received,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realised Gains On Disposal Of Inv Properties,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange Gains/(Losses),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Fees,38311.23198,19469.84264,10296.64407,21027.8049,10350.58241,10677.72025,11725.59002,10726.86274,16348.82728,11804.73415,10792.97626,10515.16118,40204.49471,20500.10912,10877.63978,22288.36195,11007.6406,11393.39707,12553.20557,11522.26608,17619.63969,12764.73694,11709.60165,11436.71278,41773.01092,21282.19826,11283.24777,23100.25343,11399.13703,11788.81376,12978.08621,11902.35925,18185.75424,13163.92212,12065.76039,11784.57135,43043.57702,21929.51668,11626.43855,23802.86974,11745.85269,12147.38181,13372.82712,12264.38089,18738.89136,13564.3154,12432.75203,12143.01036,44352.78861,22596.52391,11980.0678,24526.8568,12103.11404,12516.85605,13779.57445,12637.41377,19308.85267,13976.88704,12810.90608,12512.35164
Fair Value Adjustments,0,16.83412174,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
