,1,2,3,4,5,6,7,8,9,10,11,12
WORKING_CAPITAL,,,,,,,,,,,,
NEW_TRADE_PAYABLES,500,500,500,500,500,500,500,500,500,500,500,500
NEW_TRADE_RECEIVABLES,500,500,500,500,500,500,500,500,500,500,500,500
RECEIPTS_FROM_TRADE_RECEIVABLES,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
PAYMENTS_TO_TRADE_PAYABLES,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
TRADE_RECEIVABLES_PROVISION_FOR_BAD_DEBTS,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
INVENTORIES,0,0,0,0,0,0,0,0,0,0,0,0
INTERGROUP_RECEIVABLES,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_RECEIVABLES,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_PAYABLES,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
INTANGIBLE_ASSETS,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE_OF_SHARES,0,0,0,0,0,0,0,0,0,100,0,0
INVESTMENT_IN_SUBSIDIARIES,0,0,0,0,10000,0,0,0,0,0,0,0
INVESTMENT_IN_ASSOCIATES,0,0,0,0,0,0,1000,0,0,0,0,0
INVESTMENT_PROPERTIES,0,0,0,0,0,0,0,0,5000,0,0,0
EQUITY_INVESTMENTS,0,0,0,0,0,0,0,0,0,0,0,10000
LONG_TERM_MONEY_MARKET_INVESTMENTS,0,0,0,0,0,0,0,0,0,0,0,0
SHORT_TERM_MONEY_MARKET_INVESTMENTS,0,0,0,0,0,0,0,0,0,0,0,0
LOANS_TO_RELATED_ENTITIES,0,0,0,0,0,0,0,0,0,0,0,0
TREASURY_SHARES,0,0,0,0,0,0,0,0,0,0,0,0
DIVIDEND_PAID,0,0,0,0,0,0,0,0,0,0,0,100
PROVISION_FOR_TAX,0,0,0,0,0,0,0,0,0,0,0,0
INTERCOMPANY_LOANS,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
INFLATION_RATE,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
OTHER_STAFF_SALARY,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
PENSION_AND_STATUROTY_CONTRIBUTIONS_PERCENT,0.1136,0.1136,0.1136,0.1136,0.1136,0.1136,0.1136,0.1136,0.1136,0.1136,0.1136,0.1136
TAX_RATE,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,
AGENT_COMMISSION,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
AGENT_CONTRIBUTION_PERCENT,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AGENT_SALARY,50,50,50,50,50,50,50,50,50,50,50,50
BUSINESS_ACQUISITION_PERCENT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
CREDIT_OFFICER_COMMISSION,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CREDIT_OFFICER_SALARY,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,
B2B_ADMINISTRATION_FEE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
B2B_DISBURSEMENTS,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
B2B_AVERAGE_LOAN_TERM,10,10,10,10,10,10,10,10,10,10,10,10
B2B_INTEREST_RATE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
B2B_PROVISION_FOR_CREDIT_LOSS,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
B2B_CREDIT_INSURANCE_FEE,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
CONSUMER_PVT_ADMINISTRATION_FEE,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
CONSUMER_PVT_AVERAGE_LOAN_SIZE,1000,1000,1200,1200,1200,1350,1350,1350,1500,1500,1500,1500
CONSUMER_PVT_AVERAGE_LOAN_TERM,9,9,9,12,12,12,12,12,12,12,12,12
CONSUMER_PVT_INTEREST_RATE,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
CONSUMER_PVT_PROVISION_FOR_CREDIT_LOSS,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
CONSUMER_PVT_NUMBER_OF_AGENTS,12,15,18,20,24,24,28,30,30,30,30,30
CONSUMER_PVT_CREDIT_INSURANCE_FEE,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
CONSUMER_PVT_NUMBER_OF_LOANS_PER_AGENT,5,5,5,5,5,5,5,5,5,5,5,5
CONSUMER_PVT_RENEWAL_RATE,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
,,,,,,,,,,,,
CONSUMER_SSB_ADMINISTRATION_FEE,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
CONSUMER_SSB_AVERAGE_LOAN_SIZE,400,400,400,400,400,400,400,400,400,400,400,400
CONSUMER_SSB_AVERAGE_LOAN_TERM,9,9,9,12,12,12,12,15,15,18,18,18
CONSUMER_SSB_CREDIT_INSURANCE_FEE,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
CONSUMER_SSB_INTEREST_RATE,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
CONSUMER_SSB_NUMBER_OF_AGENTS,12,15,18,20,24,24,28,30,30,30,30,30
CONSUMER_SSB_NUMBER_OF_LOANS_PER_AGENT,10,10,10,10,10,10,10,10,10,10,10,10
CONSUMER_SSB_RENEWAL_RATE,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CONSUMER_SSB_PROVISION_FOR_CREDIT_LOSS,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,,,,,,,,,,,,
SME_ADMINISTRATION_FEE,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
SME_AVERAGE_LOAN_SIZE,4000,4000,4000,3000,3000,3000,2500,2500,2500,2500,2500,2500
SME_AVERAGE_LOAN_TERM,6,6,6,6,6,6,6,6,6,6,6,6
SME_CREDIT_INSURANCE_FEE,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
SME_INTEREST_RATE,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095
SME_NUMBER_OF_CREDIT_OFFICERS,6,6,6,6,9,9,12,14,14,18,18,18
SME_NUMBER_OF_LOANS_PER_CREDIT_OFFICER,15,18,20,20,12,14,14,17,20,22,25,25
SME_PROVISION_FOR_CREDIT_LOSS,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
SME_RENEWAL_RATE,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
